Statement,Disease
"পুকুর থেইকা একটা পচা গন্ধ আসতেসে, পরে দেখি মাছের শরীরে বড় বড় গর্ত হইয়া মাংস পইচা যাইতেছে। মাছের দিকে তাকানোই যায় না।",Epizootic Ulcerative Syndrome
গা ধইরা রাখলে মাছটা বারবার ছুটে পালাইতে চায়। পিঠে হাত দিলে বোঝা যায় কেমন রুক্ষ।,Argulosis
গায়ে হাত রাখলে মনে হয় কেমন রুক্ষ হয়ে গেছে।,Argulosis
"মাছটার পেট এত মোটা যে ও আর বাঁকতে পারে না, একদম কাঠ হইয়া গ্যাছে।",Dropsy
"ঘেরের সব মাছ কিনারায় আইসা মুখ বাইর কইরা রাখসে, মনে হয় বাতাস খুজতাসে।",Gill Rot
এই রোগ ধরা মাছগুলারে বাঁচানোর চেষ্টা কইরা লাভ নাই। এগুলারে সরাইয়া না ফেললে বাকিগুলাও মরব।,Myxoboliasis
"মাছ উঠালেই গা থাইকা পোকা পড়ে, সাথে লাল পানি।",Argulosis
"এখন আমি আর পানিতে মাছ দেখি না, খালি কিলবিল করা উকুন আর মাছের কংকাল দেখি।",Argulosis
"এই রোগের কোনো জাত-বিচার নাই, শিং-মাগুর-রুই-কাতলা, সব মাছের গায়েই দেখি পচা ঘা।",Epizootic Ulcerative Syndrome
"পানির উপ্রে চিৎ হইয়া ভাইসা ছিল একটা, তুইলা দেখি কানকোর ভিত্রে সব শেষ।",Gill Rot
"এই রোগে যে মাছটা একবার বাঁইচা যায়, তারও পাখনাগুলা আর কোনোদিন আগের মত বড় আর সুন্দর হয় না।",Fin and Tail Rot
"মাছের গায়ে এমনভাবে রক্ত জমছে যে মনে হয় কেউ আলতা মাখাইয়া দিছে। কিন্তু এইটা তো সাজ না, এইটা মরণ।",Hemorrhagic Septicemia
এই রোগটা একবার পুকুরে নামলে আর মাছ চাষ কইরা লাভ নাই। সব সময় মনে হয় এই বুঝি সব মাছ মইরা গেল।,Streptococcosis
"মাছের পাখনার গোড়ায় দেখি একগাদা উকুন জটলা কইরে রইছে, পাখনাটাও আর নড়তেছে না।",Argulosis
মাছগুলার মুখটা হাঁসের মতো চ্যাপ্টা হইয়া গেছে। এই বিকলাঙ্গ চেহারার কারণ ওই কানকোর গুটি।,Myxoboliasis
"আমার রুই মাছগুলার লেজের আগায় প্রথমে ফোসকা পড়ছিল, তারপর ওইখান থাইকা পইচা গ্যাছে।",Fin and Tail Rot
"মরা মাছটা তুইলা দেখি, ঘায়ের ভিতর থেইকা সাদা কীড়ার মত কি জানি বাইর হইতেছে।",Epizootic Ulcerative Syndrome
"মাছ সোজা হয়ে সাঁতার কাটে না, পিঠে জ্বালা করছে।",Argulosis
"এই রোগে মাছের শরীরটা এমন বাঁকা হইয়া যায় যে দেখতেই ভয় লাগে, আর পুরা শরীরেই লাল লাল ক্ষত।",Epizootic Ulcerative Syndrome
ধরার পর মাছটা নিঃশ্বাস নিতে নিতে কাঁপতেছে। পেটের নিচে দাগ লাল হয়ে আছে।,Argulosis
"সকালবেলা দেখি মাছগুলার লেজের আগাটা ঠিকই আছে, কিন্তু বিকাল হইতে হইতেই দেখি সাদা হইয়া যায়।",Fin and Tail Rot
