comments,labels
01567-885423 এটা বন্ধ সিমের আওতায় আছে?,Promotional
কত দিন সিম বন্ধ রাখলে এই অফারটা পাওয়া যাবে,Internet Package Issue
অফারটি আমার বন্ধ থাকা নাম্বারের জন্য প্রযোজ্য কিনা তা চেক করব কিভাবে ?,Internet Package Issue
"মৌলভীবাজার জেলার সৈয়ারপুর এলাকায় আপনাদের নেটওয়ার্ক কভারেজ খুবই বাজে। রুমে ঢুকে ফোনের ডাটা অন করার সাথে সাথেই নেটওয়ার্ক সিগনাল অফ হয়ে যায়। তখন নেটওয়ার্কিং করা তো দূরে থাক, কল পর্যন্ত আসে না। আশা করি আপনারা এর জন্যে যথাযথ ব্যবস্থা নিবেন",Network Issue
টেলিটকের নিয়মিত কাস্টমার ছিলাম।বাদ দেয়ার সময় হয়েছে,Internet Package Issue
"ধীরে ধীরে ব্যবসা তো গুটিয়ে নিচ্ছেন,,,,,,,,,।৷ বন্ধ সিম চালু হবেনা,,,,,,,।৷ চালু সিম গুলোই বন্ধ হবে,,,,,,,,,,,,,",Promotional
আমাদের এলাকায় টেলিটক সিমের টাওয়ার আছে কিন্তু নেটওয়ার্ক বাহিরেগেলে H+আর ঘরের ভেতর E+,Network Issue
আমার টেলিটক নাম্বার থেকে ইমারজেন্সী লোন নেওয়া যায়না কেনো--? একটু জানাবেন প্লিজ!!,Availability
একদম বাজে একটা সীম নেট চালু হয় না,Network Issue
বাংলাদেশের সবচেয়ে দুর্বল নেটওয়ার্কের সিম। সার্ভিস অত্যন্ত বাজে।,Network Issue
অথচ সরকারি এই সিম হতে পারতো সবচেয়ে শক্তিশালী নেটওয়ার্কিং সিস্টেম।,Network Issue
"শুধুমাত্র দুর্নীতির কারনে আজ এই সিমের এ অবস্থা,,,",Promotional
আজকে নতুন সিম কিনলাম কিন্তু নেট পাচ্ছে না,Network Issue
মোগো গেরামে টেলিটক ইমার্জেন্সি,Mobile Financial Service Issue
জামালপুর সদরে ৯/০৬/২০২৩ তারিখ থেকে ২ জি নেটওয়ার্ক নাই। বিষযটি নিয়ে ০১৫০০১২১১২১অভিযোগ দিয়েও কাজ হয়নি।বিষয়টি দেখবেন আশা করি।,Network Issue
"নেটওয়ার্ক থাকে না লোহাগাড়া চট্টগ্রামে, এত অভিযোগ করার পরে ও কাজ হয় না",Network Issue
এতো ধামাকা দিয়া লাভ কি? নেট‌ওয়ার্কের জন্য যদি ঘর থেকে বের হওয়া লাগে,Network Issue
